order_item_id,order_id,product_id,quantity,unit_price
402,1136012,2889,2,188.56
1040,7547162,12510,4,172.57
2157,2802555,18954,2,219.08
3661,7512182,12865,2,40.03
3724,3523945,11633,4,364.51
4005,4515347,1642,3,234.19
8352,7325462,17611,1,178.1
9785,2902247,6307,2,260.91
10148,420276,17425,3,330.52
13439,3347612,9305,4,227.93
14494,6755949,1066,4,222.6
17266,3021393,8554,2,18.58
19029,7464967,8675,3,65.98
19424,3528332,8261,3,43.36
23989,3030480,7109,5,389.33
25718,3690844,5164,4,60.9
26257,1976657,17005,4,95.83
28200,5062560,13719,4,211.39
30121,6239296,2411,3,485.47
31229,3730658,9867,1,73.46
31573,5547073,19309,4,370.08
32493,409486,15978,4,330.82
32998,1540065,9846,3,111.24
35234,2953682,6268,3,182.97
36279,7837416,2813,4,288.96
38058,7185051,11441,1,312.15
38854,3099802,6666,3,404.96
41151,960303,8563,3,196.61
41230,568896,1342,1,317.37
42506,1832217,17175,4,29.02
42910,5372162,11820,1,243.57
45929,295308,17934,1,355.87
49479,6066960,11792,4,297.75
51624,3036485,19559,3,120.68
54371,3209849,8167,5,249.29
58999,4753527,16050,3,342.53
59786,1413904,8304,4,384.86
62277,2315167,15754,3,391.65
63663,7752201,11696,3,169.51
63808,3186840,439,1,94.33
64513,990650,2595,1,68.01
66501,7774149,17327,1,466.34
66764,2777106,10146,3,395.08
68981,7172949,5853,3,486.35
70615,10001,6129,1,309.52
71411,5976624,12892,2,461.35
71627,3260948,8955,5,386.76
72632,4411786,12103,3,395.26
76433,6208242,17212,4,223.21
77423,6679731,2885,2,301.63
77478,682388,6297,5,477.92
79121,5072725,4583,4,337.8
79151,2615591,19512,2,342.19
79410,2386925,4062,2,50.15
79571,4013950,19913,2,92.52
79696,7699507,18686,4,466.65
80866,1325799,15876,3,96.3
80944,489128,16274,1,306.16
81205,2627034,7070,5,80.5
81700,3620489,15812,2,288.3
83212,3146186,16531,4,313.07
83494,7226274,18945,5,372.54
85688,5772871,7230,2,390.53
85915,2742551,490,5,327.59
89189,2304288,5120,1,342.98
90237,6434994,7072,2,411.07
90395,1198813,1967,5,202.04
90775,295308,12504,3,231.65
90847,1278319,1754,4,13.25
94349,2648489,18092,2,209.69
97136,2304288,335,3,97.58
102481,3634658,6414,2,160.69
104048,3152089,16106,1,80.81
104708,2614644,11447,2,297.59
104809,2249213,10444,4,210.97
105349,5542728,15941,2,12.28
105879,631372,3177,5,361.21
108174,3547076,12218,3,308.46
109657,2253498,15533,4,159.14
109886,4146566,12871,5,63.31
110008,6019208,6677,2,236.18
111857,2704846,19944,2,77.05
113272,6377939,4080,4,399.57
114432,3114411,16478,4,338.5
114647,3842551,3384,5,178.44
114706,3857721,12469,3,165.22
116256,7903042,1004,5,307.18
117241,5033915,8869,3,385.99
118784,7821223,11304,2,150.95
118863,7241823,2953,4,409.12
119289,3395061,4805,4,451.44
119322,6052817,15264,1,32.23
121954,1480016,12515,3,298.62
