order_id,customer_id,order_date,total_amount,payment_method,shipping_country
2368504,1129930,2025-08-25,2327.6,PayPal,Panama
5788308,891174,2023-07-19,2543.23,Bank Transfer,Mauritius
5827722,1009370,2025-02-25,6162.97,Credit Card,Sierra Leone
7772498,1510612,2022-08-23,2907.38,Credit Card,Congo
2828157,1455882,2023-05-27,1050.86,PayPal,Turkmenistan
2649657,1772165,2021-11-23,4311.11,PayPal,Gibraltar
2955247,1199311,2025-07-30,1072.89,Credit Card,Nauru
7879907,624204,2023-03-30,3207.33,Bank Transfer,Tanzania
543685,1956272,2022-05-23,1839.42,Bank Transfer,French Guiana
6133183,644788,2023-05-14,1208.6,Credit Card,Lesotho
2618598,1020520,2025-08-26,2477.04,Credit Card,Somalia
838006,582561,2025-04-10,1120.3,Credit Card,Chad
1786921,882777,2023-08-16,558.38,Bank Transfer,Saint Lucia
3099630,448642,2024-05-03,284.82,Credit Card,Swaziland
629479,897007,2024-09-01,3435.02,Cash,Ukraine
3200863,1894634,2021-09-28,2516.84,Bank Transfer,Philippines
2437394,300479,2024-10-07,3658.49,Credit Card,Cuba
5813761,376817,2025-04-06,1763.46,PayPal,Egypt
4618551,1013590,2023-09-11,1052.34,Bank Transfer,Denmark
244717,993472,2021-11-26,2203.65,Cash,Honduras
7419361,9443,2024-08-04,0.0,Bank Transfer,Central African Republic
968293,228167,2025-06-08,1118.2,Cash,Lithuania
3305603,1321601,2022-02-17,679.44,PayPal,Pitcairn Islands
3906253,272062,2023-03-02,2805.87,PayPal,Finland
5665981,1232487,2024-04-16,778.8,PayPal,Senegal
4447664,496876,2024-07-29,2098.78,PayPal,Suriname
1259157,674071,2024-10-03,2440.0,PayPal,Mayotte
3859988,1354433,2023-03-22,2115.25,Cash,Namibia
5796288,1783772,2023-08-01,3416.89,PayPal,Norway
2835931,319582,2025-04-16,1229.38,Cash,French Polynesia
6286155,458556,2022-11-22,448.4,Cash,Philippines
482432,369878,2023-07-28,0.0,Credit Card,Slovenia
2890835,1973059,2024-03-19,1206.7,Bank Transfer,Zimbabwe
7480916,1625263,2023-02-12,1205.69,Bank Transfer,Falkland Islands (Malvinas)
6193830,26356,2023-02-09,950.6,PayPal,Pakistan
276473,1159821,2024-01-02,2744.83,Credit Card,Paraguay
2949753,1685629,2022-03-21,652.88,Credit Card,Guinea-Bissau
1751355,1031711,2024-04-25,2084.43,Bank Transfer,Palestinian Territory
7295720,958282,2023-11-23,1314.72,Credit Card,Isle of Man
4885317,268493,2022-01-15,59.55,Bank Transfer,Croatia
2205116,66516,2023-04-04,1811.89,Credit Card,Denmark
3301000,1070255,2024-04-30,2610.52,Credit Card,Heard Island and McDonald Islands
7211313,334008,2024-09-29,171.38,Credit Card,Rwanda
1209702,1625471,2025-08-21,927.22,Cash,Tanzania
7441069,577304,2025-08-23,514.19,PayPal,Isle of Man
2704567,1771262,2025-08-04,3229.55,Credit Card,Peru
3814701,1118238,2023-05-27,2041.1,Credit Card,Andorra
138639,1180185,2023-07-24,1870.75,Cash,Western Sahara
2571591,533711,2023-03-17,2524.51,Credit Card,Senegal
367461,1095303,2024-05-02,3663.14,Bank Transfer,Haiti
3789627,377358,2021-11-24,0.0,Bank Transfer,Solomon Islands
2879616,1448652,2022-09-27,0.0,Bank Transfer,Somalia
5386907,896693,2024-04-25,1463.25,Bank Transfer,Morocco
2470253,670952,2023-09-18,0.0,Credit Card,Jordan
4801383,622345,2025-07-31,2919.32,Credit Card,Canada
3276102,817044,2021-09-09,272.09,Cash,Zambia
4055082,1406207,2023-02-10,4193.84,Credit Card,Guadeloupe
