product_id,product_name,category,price,stock_quantity,brand
1,Plan Get,Books,278.27,533,BrandA
5,Finally Develop,Beauty,307.6,862,BrandC
7,Various Account,Electronics,200.95,267,BrandC
8,Build Of,Beauty,262.73,198,BrandA
9,Save Keep,Clothing,155.47,355,BrandD
11,Usually Generation,Clothing,79.13,906,BrandB
13,See Fine,Books,299.74,84,BrandB
16,Same One,Beauty,152.27,199,BrandB
17,Option Early,Toys,65.91,215,BrandB
21,Speak Indicate,Clothing,49.2,234,BrandA
23,Manage Family,Beauty,217.74,920,BrandC
25,Hear Choice,Electronics,205.07,43,BrandA
26,Learn Occur,Beauty,351.39,94,BrandC
27,Eat Add,Books,336.82,535,BrandC
29,Admit Car,Home,192.6,667,BrandC
30,Similar Doctor,Home,137.83,162,BrandD
32,Exist Peace,Toys,463.94,132,BrandD
35,Later Charge,Toys,320.73,430,BrandB
36,Upon Reality,Clothing,339.19,132,BrandB
37,Realize Response,Books,119.22,184,BrandC
40,Front Statement,Beauty,236.34,294,BrandB
41,Past Something,Clothing,254.19,904,BrandA
43,Interview Do,Books,78.97,710,BrandC
46,Blue Learn,Toys,196.65,598,BrandD
48,Major Money,Clothing,342.7,8,BrandD
50,Rich Research,Clothing,150.78,323,BrandD
51,Degree Personal,Books,66.17,982,BrandD
54,Short Off,Electronics,485.4,636,BrandC
55,Green Person,Beauty,234.79,381,BrandD
57,Daughter Fire,Beauty,457.97,720,BrandC
58,Truth Soldier,Clothing,212.32,708,BrandC
60,Likely Focus,Beauty,333.06,575,BrandD
61,From Carry,Books,293.61,869,BrandC
63,Near Hear,Beauty,333.03,248,BrandC
64,Mrs Cause,Books,71.66,137,BrandD
66,Line Toward,Clothing,161.26,506,BrandC
71,Check Space,Clothing,34.35,986,BrandA
72,Rich Conference,Home,75.39,131,BrandC
77,Lot Change,Clothing,43.68,35,BrandD
81,Season Federal,Electronics,440.99,465,BrandC
82,Pm Itself,Toys,132.27,321,BrandD
83,Station Plan,Electronics,354.78,809,BrandC
84,Others Prove,Clothing,159.31,470,BrandB
85,Thing Out,Home,37.41,806,BrandC
88,Marriage Poor,Beauty,266.79,716,BrandD
90,Include Understand,Electronics,156.8,422,BrandA
91,Order All,Clothing,326.43,362,BrandB
95,Happen Election,Clothing,388.02,494,BrandA
96,As Number,Clothing,74.7,583,BrandD
98,Foreign Type,Beauty,171.81,383,BrandD
100,Service Public,Books,405.6,612,BrandD
104,Act Design,Beauty,430.59,203,BrandD
105,Whom Spring,Books,209.67,183,BrandC
113,Research Apply,Books,341.94,680,BrandC
114,Turn Build,Beauty,299.21,743,BrandB
118,Letter Keep,Clothing,290.25,899,BrandB
119,Office Five,Beauty,469.78,446,BrandB
120,Dog Before,Home,192.94,319,BrandD
125,Physical Team,Home,458.09,936,BrandB
126,Scientist Election,Beauty,8.23,158,BrandB
134,Treatment Recent,Books,403.83,340,BrandA
135,Degree Ahead,Electronics,481.64,667,BrandD
136,Mention Find,Books,53.51,164,BrandC
137,To Goal,Toys,412.07,7,BrandB
140,Appear Majority,Electronics,92.45,933,BrandB
141,Add Ever,Electronics,194.84,673,BrandA
143,Common Someone,Clothing,17.41,50,BrandD
144,Table Close,Books,26.6,601,BrandC
147,Especially Receive,Toys,391.49,868,BrandB
149,Enough Past,Home,484.35,557,BrandB
151,Entire Those,Home,405.2,851,BrandC
154,Toward Cause,Home,281.1,448,BrandD
155,Ready May,Home,146.69,84,BrandB
157,Present Almost,Electronics,24.76,697,BrandB
160,Hard Another,Clothing,28.45,738,BrandA
162,Head Subject,Clothing,109.14,818,BrandD
163,Increase Color,Home,486.03,641,BrandC
165,Capital Answer,Beauty,273.8,310,BrandB
174,Author Still,Electronics,442.93,405,BrandC
177,Citizen Wrong,Clothing,53.54,21,BrandD
178,Agent Light,Electronics,435.63,661,BrandA
182,Page Five,Electronics,97.2,656,BrandC
188,Read Strategy,Home,200.92,16,BrandD
189,Door Analysis,Clothing,35.19,240,BrandD
193,Situation Because,Books,399.08,82,BrandC
194,Already Late,Home,422.59,581,BrandC
196,Scene Reduce,Toys,300.75,128,BrandA
197,Themselves Impact,Beauty,125.98,825,BrandC
203,Dinner Interview,Clothing,38.2,135,BrandC
206,Middle Rock,Beauty,161.69,339,BrandB
207,List Note,Clothing,372.29,904,BrandB
209,Across Drop,Toys,446.75,879,BrandB
210,Debate Exist,Beauty,399.88,912,BrandA
211,Drug Fund,Beauty,453.85,606,BrandB
212,Forward Himself,Beauty,458.86,176,BrandA
213,Since Organization,Electronics,493.64,863,BrandB
214,Whole War,Electronics,209.55,846,BrandA
217,Window Radio,Electronics,127.36,162,BrandA
220,Federal Collection,Clothing,48.43,345,BrandD
222,Across Plan,Toys,322.65,96,BrandB
224,Discover Person,Clothing,358.45,292,BrandC
225,Energy Theory,Beauty,479.77,412,BrandB
226,Report Tree,Clothing,184.12,766,BrandC
227,Thousand Fill,Electronics,113.71,912,BrandA
230,Serious Save,Toys,52.73,364,BrandC
233,Design Crime,Electronics,460.75,902,BrandB
237,Audience Particular,Toys,438.69,794,BrandC
240,Kid Civil,Toys,40.03,377,BrandC
243,Participant Magazine,Electronics,301.85,853,BrandD
244,Center Occur,Toys,462.52,136,BrandC
245,Case Finish,Books,464.59,964,BrandB
246,Not Material,Beauty,106.42,730,BrandC
247,Trouble Sound,Toys,31.37,421,BrandB
248,New Where,Electronics,9.81,745,BrandD
249,Lay Factor,Toys,214.66,517,BrandB
250,Bank Hotel,Clothing,205.87,762,BrandA
253,Every Level,Toys,441.22,620,BrandC
254,Nation Fish,Electronics,455.13,42,BrandD
259,Land Information,Home,410.82,803,BrandA
260,Woman Impact,Clothing,487.76,953,BrandA
264,Fill Support,Beauty,429.67,541,BrandD
266,Degree Throughout,Books,316.62,70,BrandD
267,Adult Meeting,Electronics,215.68,145,BrandC
272,Floor While,Toys,340.66,318,BrandA
273,Realize Middle,Toys,226.46,975,BrandD
275,Force Its,Books,479.57,518,BrandB
280,Nothing Style,Electronics,355.27,913,BrandC
